question|answer
"Goes in depth on content/explains things well, but takes an hour to explain what could as easily be done in 30 min+makes you stay in class (2hr15m long) until you finish that day's lab, which she doesnt give access to until after 1hr+ lecture. Avoid her if u can, the evil laugh thing is not a joke.2 exams-70%, labs-15%,assignments-10%,attendance-5%"| "0.0, -0.0"
"Thompson is a pretty decent teacher in that she goes in depth but that causes her to be 1-2 weeks behind other classes. But she only has 2 labs per week, 3 coding assignments, and only 2 tests. But you have to write code on the test so I recommend to take another professor cause 50% of test grade is coding which is take-home. Overall, she's fine."| "0.0, -0.0"
"This class is NOT beginner friendly. The grading criteria is overwhelmingly unfair. If you are new to coding, unless you spend all day every day trying to learn this you aren't passing. The exams have questions that she never even mentions during the lectures. Like windows processes??? Just feels rigged. Also, she's weird and laughs like a maniac."| "-1.0, -1.0"
"She gives 2 tests throughout the semester, which is the midterm (35%) and the final (35%) which makes up for 70%, attendance is mandatory, and she will even count you late if you are not on time. Lectures can get boring since she is just reading off the slides, there are labs every single class, If you dont know how to code, then dont take it."| "-1.0, -1.0"
"Took her as a freshmen, and now I'm a senior. This professor is really the bottom of the barrel. I had already been programming for several years. Her teaching was obtuse and removed from learning; thus, it made things hard despite already knowing what I was doing. Her tests asked overly specific questions, including things about her personal life."| "-1.0, -0.5"
"Great professor, easily to understand and follow along. She will answer any question you have while not faulting you for asking. It is a very exam focused call so study for the Exams. I recommend you read the book to get a better understanding of C++. The textbook also has a lot of the solutions for assignments and lab assignment."| "1.0, -0.0"
"For a freshman course, she makes her test and overall assignments in a way that if you don't read the textbook back to back you're going to fail. Avoid her at all cost, I would wait for next semester if she's the only professor available. Mandatory attendance and she starts counting attendance 5min before the class starts."| "-1.0, -1.0"
"She takes her time and explains the code really well. The test can be short in the fact that some of the code traces weigh a lot on the test so make sure you don't mess up in the code traces or else the whole question gets marked wrong. The labs and the practice assignments arn't bad and are engaging and helpful."| "1.0, -0.0"
"*Note this is for CS 1136 NOT CS 1336* Never met Prof Thompson in person, as the TA's ran the lab, but received multiple emails throughout the course regarding hints with assignments, extensions for labs, and additional submissions on Zylabs (sent to everyone in the class). Accommodations were reasonable, and the lab was not hard overall."| "0.0, 0.5"
"Worst cs professor , if you take her just be prepared to take labs at 9pm with no real help . Attendance is mandatory and she starts class 5 min early to take attendance (so if you come to class on time she'll mark you late)  , and makes class last 15m longer , so prepare to have 20m wasted . Her laugh is absolutely diabolical and makes you cringe."| "-1.0, -1.0"
"Engaging lectures, but deceptively simple. Review before class and use unstuck study for study prep. Open-ended exams are tough, but daily work helps. Professor is enthusiastic and wants students to succeed."| "0.5, -0.5"
"Not a self-paced course, you must actively follow along to do well. Professor Robert was very approachable and kindly willing to stay behind after class to provide help with workshops. His office hours are very helpful too. Several quizzes and exams but no drops on exams, however he generously curves."| "1.0, -1.0"
"Great professor with engaging lectures, but they're deceptively simple. Review the lectures the night before and take notes. If you take honors, know that the exams are open-ended; the bulk of the questions come from the content taught earlier in the unit. As much as daily ungraded homework sucks, it does help, and so does going to office hours."| "1.0, -0.5"
"If you can, I highly recommend taking Dr. Sibert for inorganic chemistry! There was a good amount of preparation put in for the tests with plenty of quizzes and workshops to study from. Make sure to not skip class because it's easy to get lost without."| "1.0, -0.0"
"Professor Sibert is very nice. He's such a dad. He goes on a lot of tangents but he's a great teacher. He's really easy to reach, and he reviewed exams with me when I asked him to help me with my mistakes. He's a piper professor for a reason!"| "0.5, -0.0"
"Professor Sibert has the tenacity and spirit to teach. He is a great person with an amazing sense of humor; however, his lectures are a bit too dry. He teaches the theoretical aspects of chemistry and not the application aspects, but the application aspects is all that matters for exams. Overall, I wouldn't recommend taking this class with him."| "-0.5, -1.0"
"Though I think highly of Professor Sibert, I didn't appreciate the honors section. He had a propensity to veer off-topic. I never understood why he gave us difficult open-ended exams while the regular sessions did not. If you are taking other challenging subjects or have time-consuming ECs, it can be tough to complete the daily ungraded homework."| "0.0, -0.5"
"In general, he's a good professor. If you get him for gen. chem. you should be okay. Just know that he can go off-topic sometimes, and moves around content. He also has thing about midterm grades where he avoids putting them in until the last second, which could be either good or bad depending on you."| "0.0, -0.5"
"Dr. Sibert is an incredible professor in my eyes. He clearly explains the topics and is really down to earth. Others complain about his tendency to go off on tangents, but I find them very interesting (mostly because I do the same thing). Of course, you need to work hard, but he definitely loves teaching and wants everyone to learn and succeed."| "1.0, -0.0"
"He is the best professor in chemistry department. He truly cares about students and puts his students first. Recommend him 100%"| "1.0, 0.5"
"Gen chem 1 was very difficult, but Dr. Sibert was able to explain everything in a very bite sized piece way. However do not take him if you are prone to skipping class because you will not be able to succeed. However, for those who put in the effort and study hard, you should be able to get a decent grade. However, it's not a class that you can BS."| "0.5, -0.0"
"i was worried taking ochem 2 over the summer because i struggled with ochem 1 but dr. sibert is a wonderful professor and attending lectures + review sessions were really helpful. not a lot of people went to his reviews but he went over the review questions in detail. his exams were exactly like his reviews with a few textbook hw questions."| "1.0, -0.0"
"Quite possibly the hardest class I have taken so far, Professor Sibert himself is a nice guy but he tends to go off on random motivational tangents during lecture that take up half the class time. You will need to put hours of work into Gen Chem if you want to pass."| "0.0, -1.0"
"Sibert is amazing at explaining concepts and he genuinely is interested in the success of his students. Easily the best gen chem teacher. He made gen chem manageable and actually enjoyable. His office hours and reviews are gold. If you want to get an A, go to class, do PLTL, do ALL the homework, attend his lectures, and go to his office hours."| "1.0, -0.0"
"Professor Sibert honestly gets a lot of unnecessary hate. Chemistry is a relatively difficult subject to understand and often times it's a lack of preparation that causes students to not do well. PLTL is not very helpful for this course but doing the homework is crucial, you will not do well without it. Attend workshops if you can, they help a lot."| "1.0, -0.0"
"Ochem 2 is hard, regardless on the professor. I did not do well in Ochem 1 however, I did very well in this class because the professor provides a well-thought out study plan. Even though it is not required to complete to readings or the homework, I highly recommend it! Practicing the problems repeatedly is the only way to do well on exams."| "1.0, -0.5"
"Dr. Sibert is kind, but makes the class unnecessarily difficult. If you only listen to lectures and do some hw problems, it's unlikely that you'll do well on exams. Also, his lectures often make the concepts more confusing than they are. He's a good gen chem prof, but I don't recommend him for a difficult course like organic chemistry 2."| "-0.5, -1.0"
"Goes off on random tangents for most of the lectures then tries to run through 5 lectures worth of material in one hour. The tests themselves are tricky, and he is not generous with curving. You are better off with another gen chem professor."| "-1.0, -0.5"
"The online setting of honors chem 1315 definitely played a part in how awful this class was, but I hated everything. Sibert goes off on tangents all the time and his notes are mostly horrible photocopied diagrams. However, he is a very caring prof and he curved our final grades (but nobody knows what his grading scale is still). Read the textbook!"| "-0.5, -0.5"
"This is the absolute worst professor I have ever taken. He used extensive grammar that made no sense what so ever to explain the topics. He gets off topic a lot!!! Very rude and disrespectful when you try to email him regarding questions you have. AVOID AT ALL COSTS."| "-1.0, -1.0"
"Do not take Taylor please be smart. If I had to retake the class I would do it with Huang. He is the best teacher without a doubt. Taylor is always behind in lectures and does everything except teach chemistry. She loves to talk on and on and get off track. It's embarrassing how bad she is. Don't be fooled by other reviews on here, TAKE HUANG."| "-1.0, -0.0"
"Professor Taylor is one of the best chem 1311 teachers as you can tell she really cares. She's extremely passionate and encourages her students to ask questions. Additionally, she goes through the course content thoroughly (sometimes, we got behind because of how detailed she got, however, she always made sure we knew everything before the exams)."| "1.0, -0.0"
"Her lectures are usually fine but sometimes she can go on tangents. Otherwise she explains everything pretty well. Mandatory attendance is on Fridays but sometimes she'll put the attendance credit online. She's great in office hours as well. Her exam reviews are based on questions from the MS teams chat (not structured)."| "0.5, -0.5"
"She is a great lecture, but doesn't have a lot of patience for dumb questions so pay attention well."| "0.5, 0.5"
"Unfortunately, teachers like Taylor hold prominent positions and seem to lack empathy. Personality differences pose a challenge when your professor sends sarcastic and wounding remarks. I would advocate to take another professor such as Dr Dieckman."| "-0.5, -1.0"
"She is good at teaching and makes concepts clear and easy to understand. When I took the course she let you schedule private MS Teams meetings with her to ask questions before the exam too which was great."| "1.0, -0.0"
"I am sorry to anyone in the UTeach Science Program that has to take this class. Taylor is a good chemistry teacher, but was terrible for NATS 4390 (NATS 4390 was not an option above)"| "-1.0, -1.0"
"Dr. Taylor's teaching style works very well for me. I found it very helpful when she would lead the class through a practice problem. We would also do a worksheet every Friday, partially as a class and partially on our own. I found her lectures to be engaging and interesting."| "1.0, -0.0"
"I liked Dr. Taylor, however she tends to ramble which makes us late in learning the material. Also, if you're not ready for lowkey passive agressive-ness then don't take her."| "0.5, -0.0"
"Great professor. To do well on the exams, do a lot of practice questions. From what I remember, the online suggested textbook questions that the professor provides really helped me when studying. Practice exams are also helpful too. If you have questions, don't hesitate to ask her - she's very kind! SI Sessions were also good too for more practice."| "0.5, -0.0"
"taylor is good if you're new to taking high-level chemistry; otherwise, i would stay clear of her. she teaches content in a very basic manner, making her lectures quite uninteresting. also, her slides are not good compared to other professors (like huang's). participation is only mandatory on fridays, which is the only time i go."| "0.0, 0.5"
"From what I've heard, she's one of the better Gen Chem professors. Course is hard, but she makes it fun. Attendance is only mandatory on Friday lectures (MWF course). Slides alone don't make sense but she explains them really well in class so it'll be fine if you go to class and pay attention."| "1.0, -0.0"
"There are 2 homework assignments per week (must pay for ALEKS). Slides are somewhat vague, but she explains it thoroughly in class. Likes to use the doc cam and write things out. Likes to use real world examples. Attendance only mandatory on Friday, where she will do an ungraded workshop (worksheet). Textbook not mandatory (comes with ALEKS)."| "0.5, 0.5"
"Her class was simple, tons of resources to prepare for the tests, attendance is mandatory once a week since it's part of your grade. She's a fun lecturer, but she takes her job seriously and makes sure everyone is caught up to speed. Very nice!"| "1.0, 0.5"
"Dr. Taylor was overall a good prof! She was pretty easily accesible outside of class and was generally helpful with everything. Sometimes her lecture slides don't make that much sense if you are not actually present in class when she is lecturing but otherwise she is timely and very approachable with questions!"| "0.5, -0.0"
"Loved taking this class with Dr. Taylor. She is super nice and lenient with grading. If you have any questions or are curious about anything even remotely tangent to the class topic, she will gladly discuss it with you. Paper and project topics are always interesting, and alot of the times you can choose the topic yourself."| "1.0, 0.5"
"Exceptionally kind and sweet. Dr. Taylor is very passionate about the course content, and taught me a lot about the environment. Class is super laid back and she is very accommodating of late work. She cares about her students and answering questions. Highly recommend this class to complete a CV and science credit, especially for non-STEM majors."| "1.0, 1.0"
"Overall, she is a great teacher who would answer any questions you have in class. Slides are provided and the best part is any documents or notes she went over, even the ones she hand-written, would be accessible. The only setback is that sometimes she falls behind teaching and would crap information last minute, maybe even one day before exams"| "0.5, 1.0"
"Dr. Taylor is by far the best professor at UTD. She is amazing for such a tough course, she always provides extensive feedback too which is really helpful. The class itself it really difficult which is why some people may find her teaching confusing or too fast  paced. Although the class is fast paced, she will slow down for you in office hours"| "1.0, -0.0"
"Attendance only mandatory on fridays"| "1.0, -0.0"
"Explanations are very hard to understand, had to self-study the course using the textbook and Kimberly Brehm. Recently Discrete I and II were combined meaning there was a very large amount of material to cover (studied many hours per week). Assigns very little work in the honors section so you are essentially on your own (for test prep)."| "-0.5, -1.0"
"Incomprehensible and absolutely uninteresting lectures. He cares but still lectures are skippable. You can read the book CLRS and get an easy A."| "-1.0, -0.0"
"Very disorganized professor. Changed the syllabus after first midterm. No consistency on enforcing the rule or syllabus. Worst professor I have encountered at UTD. Very lazy trying to do the least amount of work by making test questions as few as possible. Would never take again."| "-1.0, -0.5"
"Professor Bereg is a solid professor. His lectures are a bit dry, but if you pay attention he actually explains topics pretty well. Homeworks are about every 2 weeks and are moderately difficult. Exams are easy if you kept up with the class and are passable if you cram. Cheatsheets are allowed. Overall, organized and consistent class."| "0.5, -0.0"
"While his lectures are kind of unclear on what he's actually teaching, if you pay attention and read the textbook you'll understand what he's trying to say. Tests are 80% of your grade, and assignments are pretty difficult, but both are graded easily, and tests give you a basically unlimited cheat sheet, so just test prep well and fill it up."| "0.5, -0.5"
"Prof Bereg instructional effectiveness leaves much to be desired. No class structure, reliance solely on textbook slides during lectures, and difficulty in hearing him speak are shortcomings. Weekly HW is vague questions with harsh grading. Overall he ranks as one of the least effective professors I've encountered at UTD. Tests 80% of course grade."| "-1.0, -1.0"
"Singlehandedly the worst class I have taken in my 4 years at UTD. Prof. Bereg is very nice and clearly knowledgeable but has no business teaching. He is a very quiet lecturer and reads straight from the textbook on the projector every single class. The HWs are very frequent and will take you until the last second to complete. Grading is ROUGH."| "-1.0, -1.0"
"Prof Bereg is caring, helpful, and tries his best to impart knowledge. His lectures are hard to follow though, so you will need to prep before classes to follow what he's teaching. Hard assignments, but if you can do those, you can do the exams without much trouble. Class is theory-oriented (No programming), hardly helps much for interview prep."| "0.5, 0.5"
"It was a good class, but sometimes Dr. Bereg was hard to hear. He spoke fairly quietly, but overall he got the point across."| "0.5, -0.5"
"It's discrete 1, so you'll be fine if you study a bit and practice the one or two proofs given in class each unit. Exams weren't hard but required proofs but graded easily. Lecturing is meh, way too carried away by some examples."| "0.0, 0.5"
"Dr Bereg lectures will be easy to understand only if you read the syllabus upfront otherwise you will get lost during lectures. Because of his low voice. Due to his expertise in the subject, explains the concepts simplified manner. Exams are 40 percent each, careful!"| "1.0, -0.5"
"Good lecturer, sometimes jumps around but generally stays on track. Asks for class participation, which sometimes makes lectures drag on. 6 assignments (about biweekly) worth 20% and two exams worth 40% each. Exams aren't easy but not super difficult, and cheat sheets are allowed ."| "1.0, -0.5"
"As the semester ends, professor teaches subjects really fast. Choose him if you wish to get an A and not attend his classes. Choose him if you can self-study and not rely on his lectures."| "-1.0, -0.0"
"Amazing professor!"| "1.0, 0.5"
"Bereg is a good professor and expects a lot from his students. I needed to do a lot of independent reading and practice problems to prepare for the tests. There were only 2 tests, each worth 40% so take them seriously. The example problems and exercises in the book were very helpful on the test. Lectures go fast as a lot is covered."| "1.0, -0.5"
"It was my most enjoyable class this semester. His lectures were interesting and the homework wasn't too long. His voice is kind of quiet so it is a little hard to understand him at times. The tests were easier than the homework. He posts his notes but make sure to go to class because the notes don't cover everything taught."| "1.0, 0.5"
"We should pay a lot of attention in class to understand the topics. Text book is good. Need to think a lot for home work questions. Both exams were really hard and could be cracked only if our concepts are clear."| "0.5, 1.0"
"Awesome professor for algorithms. Great teaching style and I really enjoyed the detailed analysis in his class."| "1.0, -0.0"
"He doesnt really post notes online. Notes would come from his lectures. He did offer a small booklet of notes that he created for the class if you want to buy it... For tests you can bring 2 pages of notes front and back. Expect most questions based on the hw and atleast one question youve never really seen before."| "0.0, -0.5"
"This professor was meh. Lectures were hard to follow. I couldnt understand his accent too well. Tough grader on homework but pretty lenient grader on test. I felt like homework grading criteria was not clear. I had to self study A LOT."| "-0.5, -1.0"
"I took this over the summer and His exams were crazy but doable I guess it would be 400 slides for each exam, take this class with a easy semester and easy classes and not in summer"| "-0.5, -0.5"
"The course itself is very difficult, but doable if you keep up with studying and don't procrastinate. Dr. Ramirez was an okay professor, but he teaches extremely fast (200 slides in 3 hours). Slides and lectures are very long, but everything is fair game including the textbook and anything he mentions. Stay on top of things and you will be fine."| "0.0, -0.5"
"Unlike what other ppl said,his class is totally doable if you read textbook before class, go to class, and read them again after class. As long as you follow this routine you can get A+ for sure. I'm a bio major (which means exam 3, 4 materials quite new to me), but I did well on all 4 exams. Don't complain about how hard it is. Just study."| "1.0, -0.5"
"bad professor. very rude in class and does not grade with very good feedback. tests are too difficult and go over material that was not gone over in class. would not take again...."| "-1.0, -1.0"
"He has a monotone tone and he rushes through his lectures, so you won't understand anything. "Everything is fair game" in his exams, so don't bother on asking him on what to study.  Over a 100 slides to study a week and need to read the entire chapter on the textbook. Constantly says the book is wrong and his exams are brutal."| "-1.0, -1.0"
"Dr. Ramirez made this already difficult class more difficult. The exams are impossible! 3-hour lectures are rushed and unorganized. Rameriez constantly says the textbook is wrong, but will ask questions on the exams from the textbook. "everything is fair game" including random facts said in class."| "-1.0, -1.0"
"To do well in this course, you must stay on top of your work. The exams are not hard if you study well and early. Do not procrastinate otherwise you will do bad. You can get an A if you put in the effort. Pay attention in lectures, take good notes, go home and read the txtbk, and understand the material and you will do well."| "1.0, -0.5"
"Dr. Ramirez makes this class extremely difficult.  The lectures are long and hard to digest.  If he is running low on time, he will skip through 15 slides of powerpoints.  Also, ALL powerpoint slides per chapter are over 100 slides and he usually does 1 ch per week.  Exams are brutal.  "Everything is fair game.""| "-1.0, -1.0"
"He's one of the most brilliant professors I have ever had and very knowledgeable, but he is very difficult. I will say this straight off the bat, YOU CANNOT PROCRASTINATE FOR THIS CLASS!!. I have been a procrastinator my whole life, as bad as that may sound, but NOT THIS CLASS. He is also very caring and understanding professor, just go talk to him"| "1.0, -1.0"
"Professor Ramirez has really awesome lectures. He's obviously knowledgeable, and has some very cool insight for pre-med students. However, he assigns INSANE amounts of information to each exam. At one point, exam three encompassed over half of the 1,200 page textbook, plus all lecture material. He is super cool, but he will drown you in work."| "-0.5, -1.0"
"This was my most favorite but hardest class this semester. Prof. Ramirez is really passionate when teaching and wants us to be prepared in the healthcare field. Getting an A is very possible, but time-consuming. Your grades directly reflect the effort you put in. Please study/memorize the powerpoints each week and don't fall behind!"| "0.5, -1.0"
"This class is amazing!! You'll learn A LOT! But in order to at least pass, you MUST attend lec; missing one class will hurt your exam for sure! Only 3 exams and a case study.  Yes, he can be intimidating, but Dr. R genuinely cares about his students. If you approach him respectfully and show interest in learning, he'll help you and advise you well."| "0.5, -0.5"
"Hardest class I've taken so far. He really cares about getting you ready for med school so his tests are very detailed and require you to master a huge amount of information. Lectures are helpful on most days but are pretty fast-paced. To succeed, look at the material before lecture and get ready to run hundreds of Anki cards."| "0.0, -1.0"
"1. If you don't have concrete studying skills, don't take this course yet. 2. Don't miss a lecture. He presents material that is not included in his posted powerpoints, even though they are sometimes 200 slides long per week. 3. know each weeks material inside & out before the next lecture, or else you will be permanently behind. 4. textbook is bff"| "0.5, -1.0"
"The most difficult class I have taken at UTD, the lowest grade I have gotten. For this class, everything is fair game, lectures, textbook, homework, etc. The volume of it was intense. I'm not sure others are balancing. Exams are multiple choice, but that will not save you."| "-0.5, -1.0"
"Dr. Ramirez was very straightforward from the beginning about what he expects from you. His lectures are easy to follow and he shares real life experiences to make the topics more interesting. The lab has extra credit options to boost your GPA."| "1.0, -0.0"
"Impossible to take this class if you're a full time student. Exams are heavy 80 questions in 1 hr. Over 6-7 lectures. Each lecture is about 30-50 slides. Lectures are heavy full of information. Its too much to memorize. He doesn't give review or hold review session. 14/31 passed. Save your self from this class and avoid hurting your GPA."| "-1.0, -1.0"
"Dr. Ramirez, without a doubt, is one of the most brutal Biology department professors I have ever encountered. Instead of teaching and testing topics he deems important, the entire textbook is fair game for lecture exams, despite much of it not being covered in lecture. Good luck trying to study for any other classes as you study hundreds of pages."| "-1.0, -1.0"
"Look, this class has a TON of material that requires the student to be on top of their studying. There are 2 exams, and 2 practicals, which make these grades high stakes. He has a passion for teaching and is definitely available outside class. However, the exams are unfairly hard. It's truly one of those you know it or you don't classes."| "-0.5, -1.0"
"He is a pretty straight forward teacher. That's the only one perk about his class. Ppl think lacking good study habits always correlates to bad grades. That's not true. His ppts, are not enough to take his test. When you have 7 chptrs to study, where most of them will have over 200 slides, you wont find time to do anything else. His tests are hard!"| "-1.0, -1.0"
"Shes a great professor who has a straightforward class model."| "1.0, 0.5"
"Loved her so much! Offered 8 points of extra credit that would be added to the overall grade and dropped the lowest test grade. Test questions were very similar to problems/content covered in class so attend lectures and practice. 4 tests, weekly quizzes, and HW made up your grade."| "1.0, 1.0"
"easiest A+ of my life. lectures were important and informative. homework was more challenging than the tests. insane curve at the end. teacher obviously cared abt the class. inherently tough class but she made it bearable. very nice professor & great person."| "1.0, 1.0"
"Saleh was an "okay" professor. If you do homework, do the quizzes, and go to lectures you would pass the class. I say pass and not get an A because if not for extra credit and a ridiculous curve, I would not have gotten A+. I failed half of my tests and learned nothing about physics. Notes suck, tests weird, class boring. DO NOT TAKE PHYSICS AT UTD"| "-1.0, -0.0"
"Professor Saleh was great. Complete your assignments, attend lectures, and study for tests, and you'll be fine. While not everyone found the lectures helpful, I found that they covered crucial formulas and concepts. She's accessible during office hours and is a genuinely caring person."| "0.5, -0.0"
"Honestly I found her lectures useless for the test but some people like them, but as long as you understand the HW and review the test are pretty easy compared to other profs. She gives 4 tests but drops the lowest and gives weekly online quizzes. Also the HW is 30% of the grade so that's good. And she gives a lot of extra credit."| "0.5, -0.0"
"Most caring professor ever. Gives extra credit on quizzes, assignments, and exams. She teaches very well."| "1.0, 1.0"
"Professor was always kind and helped anybody with a question thoroughly. She never went to fast and explained everything perfectly with some humor on the side."| "1.0, 1.0"
"Good professor who just has to take care of a lot of students. Tutoring was necessary for me and consistent practice is a must for most students."| "1.0, -0.0"
"Tbh you don't need to go to class besides the class before the exam where she does practice problems. Very easy considering its physics and although you are required to buy pearson subscription, it works rly well as study material. All i ever did for this class was do the homework, redo the homework, and watch random yt vids and ended up with an A+"| "0.5, 0.5"
"Pretty great professor, the lectures aren't super integral to the course as all of the slides are online, but still helpful to go and watch her do application problems. Quite a few extra credit opportunities, answers emails in good time. Enjoyed this class."| "1.0, 0.5"
"She's a solid professor, but honestly, going to her lectures seems unnecessary. She puts all her slides online, so if you just go through them without procrastinating, getting an A is pretty easy."| "1.0, 0.5"
"I was surprised to see so much negativity on here, as I learned a lot from Professor Saleh in this course. The course does get into some difficult material, especially near the end with the analysis of quantum mechanical behavior. However, we practiced in lecture and she explained very well. The homework is a bit long, but nothing impossible."| "1.0, -0.5"
"Wants students to engage in class, aka constantly asking questions, helps with problems in class so I would recommend you show up. Her tests were definitely easier than others from what I heard, would recommend her above others."| "0.0, 0.5"
"Extra credit, exams were not great but gave partial credit. As usual, a mountain of mastering assignments to stress you out and be more of a nuisance than helpful. Does not answer some emails. No curve is shocking even with extra credit. Lectures are more or less useless in regard to exam prep."| "0.0, -0.0"
"I took the lab and college physics 2 people now take a separate lab apart from 2126 called PHYS 1102. The difficulty lies in your TA. Labs were honestly kind of difficult to understand. Homework and prelabs were not as annoying as the lab for physics 1 but material for the lab was a headache to deal with. Hope you get a good group/easy TA. W Aya!"| "0.0, -0.5"
"The homework problems on Pearson only caused me to procrastinate more, they were so time consuming. The lectures are mandatory, does not post in class problem solutions. She does go really fast with working out useful problems but takes a really long time deriving equations we don't need to know. Exams are straightforward, but expect surprises."| "0.0, -0.0"
"Not a bad professor, but she does not post her in class examples and notes that are far more helpful than the slides. Slides are basically useless and she goes way too fast in lectures. If she just posted lecture notes and examples she did in class, it would have made things so much easier. Emailed her once to do this and she never did."| "0.0, -0.5"
